Transaction ID,Payment Amount,Date Completed,Client ID,Job ID
tt80349,"$4,346.64 ",11/28/2839,cc32580,tt23894
tt53910,$4.01 ,4/9/2867,cc43944,tt63965
tt93480,$334.82 ,1/26/2687,cc44325,tt62007
tt94323,$78.57 ,4/3/2837,cc49608,tt41824
tt83757,$937.22 ,8/29/2538,cc66852,tt79099
tt40795,"$51,718.61 ",7/24/2693,cc82782,tt40129
tt75806,$0.73 ,4/20/2774,cc52351,tt61908
tt47650,"$2,138.69 ",1/22/2230,cc82161,tt63114
tt88643,$2.29 ,11/17/2476,cc31872,tt92645
tt82429,$1.62 ,3/15/2901,cc95374,tt77778
tt21732,$38.98 ,4/28/2804,cc37389,tt74919
tt70981,$713.93 ,10/14/2143,cc66514,tt91167
tt57837,$5.88 ,12/16/2027,cc81276,tt11262
tt50707,"$3,620.84 ",8/14/2534,cc66423,tt19565
tt80156,"$36,191.80 ",1/23/2125,cc77183,tt29187
tt89700,$32.55 ,12/19/2618,cc13111,tt15351
tt27751,$7.31 ,10/7/2063,cc47275,tt63201
tt25963,$40.64 ,3/5/2202,cc75738,tt44302
tt67683,$0.26 ,9/22/2613,cc97968,tt28599
tt35476,"$16,655.82 ",7/29/2314,cc26779,tt43706
tt63227,"$5,304.45 ",7/8/2892,cc41724,tt92175
tt24928,"$2,096.16 ",11/8/2659,cc91456,tt84197
tt18077,$634.02 ,4/2/2439,cc55013,tt39545
tt51482,"$38,438.70 ",2/17/2982,cc34188,tt27871
tt36378,"$82,321.58 ",12/12/2035,cc68332,tt37970
tt62542,$60.36 ,5/29/2964,cc62936,tt66898
tt93207,"$8,132.20 ",7/30/2687,cc42160,tt66605
tt39285,"$51,028.73 ",11/12/2666,cc60974,tt65000
tt40468,"$1,031.03 ",4/21/2179,cc23423,tt62658
tt45539,$43.96 ,10/19/2495,cc60810,tt90497
tt85176,"$42,539.87 ",2/21/2675,cc27876,tt95584
tt90867,$1.44 ,9/16/2628,cc35700,tt19289
tt85847,$92.70 ,12/23/2302,cc95152,tt40964
tt92931,"$3,910.77 ",7/26/2098,cc31714,tt42688
tt39631,$213.61 ,9/21/2823,cc14589,tt20368
tt17810,"$5,142.96 ",10/11/2534,cc59574,tt29661
tt81795,$40.30 ,6/22/2181,cc22701,tt88851
tt69858,$55.65 ,9/24/2048,cc83149,tt50979
tt55395,"$45,458.66 ",4/6/2697,cc54922,tt87064
tt73240,$4.96 ,8/19/2801,cc88704,tt41022
tt54380,"$37,472.88 ",12/23/2122,cc74379,tt95622
tt98839,$151.15 ,10/9/2943,cc60359,tt53469
tt75503,$0.32 ,5/5/2910,cc51406,tt56061
tt66351,$337.66 ,4/1/2176,cc71708,tt98199
tt47092,"$23,589.31 ",9/27/2835,cc91155,tt63547
tt41142,$980.77 ,6/6/2108,cc20291,tt96586
tt49310,$59.48 ,4/30/2655,cc17773,tt48258
tt35800,$862.32 ,3/13/2330,cc83543,tt98593
tt67403,$97.47 ,11/14/2290,cc30366,tt83451
tt30962,$9.67 ,7/8/2224,cc65594,tt92416
tt64394,$981.83 ,2/3/2959,cc65155,tt12740
tt58365,"$22,099.36 ",12/28/2569,cc16941,tt55561
tt75804,"$39,160.22 ",11/8/2111,cc87146,tt97854
tt40872,"$75,092.19 ",5/12/2864,cc15468,tt48464
tt43665,$55.44 ,10/28/2930,cc47937,tt57533
tt14212,$6.61 ,4/19/2474,cc78592,tt39256
tt34061,$240.52 ,6/4/2393,cc81538,tt50887
tt73252,$20.87 ,9/12/2030,cc51999,tt65202
tt84775,"$21,017.42 ",5/7/2727,cc91920,tt11878
tt67207,$534.80 ,7/9/2359,cc65368,tt28852
tt61494,$355.03 ,4/22/2659,cc74092,tt22925
tt93427,"$2,260.99 ",4/15/2789,cc11220,tt17556
tt73260,$0.38 ,5/5/2291,cc10563,tt21600
tt18976,$215.13 ,3/3/2529,cc24885,tt41716
tt32929,"$7,874.09 ",1/20/2784,cc66041,tt98443
tt90827,$82.76 ,12/16/2653,cc35087,tt78014
tt10988,$70.54 ,4/19/2463,cc93413,tt25332
tt52047,$48.22 ,2/10/2991,cc33423,tt58054
tt93983,$87.42 ,2/14/2915,cc84350,tt72131
tt93809,$5.90 ,12/31/2635,cc59029,tt79950
tt40334,"$36,365.64 ",5/3/2420,cc35307,tt43849
tt87955,"$21,883.78 ",8/26/2518,cc51299,tt50978
tt75737,$907.09 ,5/5/2449,cc27116,tt53827
tt13913,$2.91 ,10/24/2734,cc25978,tt41523
tt52742,$9.64 ,1/12/2516,cc81224,tt98938
tt35643,$83.02 ,1/23/2399,cc44091,tt32826
tt70756,"$7,771.08 ",7/21/2596,cc11758,tt75846
tt61454,"$4,008.38 ",5/15/2501,cc51853,tt72264
tt48891,"$2,314.10 ",8/5/2385,cc72035,tt92505
tt16907,"$2,001.32 ",8/4/2368,cc65903,tt14192
tt18328,$5.38 ,5/14/2446,cc16837,tt56232
tt27764,$1.50 ,7/17/2718,cc93364,tt81111
tt65567,$553.98 ,6/20/2130,cc65075,tt16014
tt75888,$58.24 ,9/26/2023,cc30960,tt77122
tt54111,"$54,705.40 ",4/5/2668,cc65491,tt90385
tt84388,$871.12 ,1/30/2068,cc96961,tt22284
tt35579,$9.58 ,4/2/2793,cc48005,tt16928
tt97943,$1.30 ,4/7/2930,cc22051,tt59617
tt94602,"$4,259.99 ",4/14/2098,cc43099,tt13477
tt16468,"$7,028.96 ",8/19/2403,cc23836,tt42620
tt64957,"$20,255.50 ",1/23/2980,cc39902,tt53006
tt46430,$8.53 ,3/25/2626,cc90100,tt53574
tt59589,"$71,292.03 ",7/19/2977,cc31672,tt49291
tt20254,"$4,707.47 ",6/23/2336,cc85030,tt57235
tt98166,$4.99 ,5/8/2774,cc33652,tt95765
tt64003,"$9,416.58 ",12/16/2664,cc93435,tt77356
tt87968,$800.01 ,7/24/2050,cc74656,tt15361
tt90661,"$3,699.10 ",8/2/2400,cc12014,tt28379
tt74228,$0.08 ,12/24/2641,cc88841,tt45965
tt26502,"$2,220.89 ",1/6/2610,cc96771,tt16599
tt57981,$11.28 ,5/16/2686,cc70663,tt10184
tt26942,$249.83 ,3/26/2529,cc66997,tt56764
tt60083,$817.66 ,1/30/2747,cc65188,tt14658
tt92262,$372.87 ,5/17/2162,cc15146,tt80975
tt58854,$8.42 ,10/13/2845,cc53124,tt39321
tt83543,$69.04 ,9/1/2430,cc22181,tt57523
tt56931,$94.23 ,5/22/2552,cc43191,tt74466
tt74800,"$3,611.94 ",12/29/2224,cc57908,tt14914
tt52985,$41.86 ,1/31/2651,cc88333,tt46142
tt31759,$864.90 ,7/8/2379,cc32995,tt56272
tt48592,$88.43 ,3/12/2183,cc86771,tt57344
tt57821,"$80,666.55 ",8/26/2775,cc75753,tt16382
tt66885,"$72,963.57 ",5/13/2301,cc40364,tt93250
tt43578,"$9,252.77 ",12/26/2402,cc83453,tt63680
tt16615,$2.09 ,12/7/2240,cc78243,tt93274
tt62521,$109.07 ,10/4/2035,cc11574,tt58050
tt24160,$72.01 ,12/24/2768,cc75047,tt36543
tt53288,"$5,069.03 ",7/19/2786,cc95905,tt93202
tt24555,$886.61 ,2/13/2148,cc92117,tt27752
tt55571,$664.87 ,7/28/2400,cc61186,tt95962
tt66748,$6.67 ,8/30/2967,cc37907,tt12198
tt87656,$52.18 ,8/15/2699,cc96977,tt14609
tt19665,$894.02 ,10/23/2906,cc50110,tt92338
tt66591,$199.24 ,11/8/2956,cc86565,tt54620
tt34904,$482.39 ,1/10/2286,cc24141,tt39410
tt55909,"$96,131.22 ",3/23/2443,cc79146,tt56176
tt61372,"$80,565.17 ",3/30/2950,cc44148,tt84971
tt97802,"$89,613.00 ",12/3/2424,cc82398,tt78434
tt40171,$368.95 ,1/27/2541,cc80481,tt83702
tt99698,$44.12 ,10/9/2896,cc11701,tt51392
tt90894,$3.51 ,1/3/2568,cc75407,tt76790
tt80857,"$86,377.09 ",1/5/2226,cc24561,tt45471
tt95606,$87.53 ,6/5/2300,cc11939,tt74313
tt66787,$79.08 ,6/21/2209,cc55544,tt36630
tt81299,$47.35 ,12/14/2835,cc45497,tt68391
tt90873,$5.11 ,11/11/2668,cc94587,tt36498
tt14537,$51.12 ,7/21/2209,cc64053,tt83023
tt72729,"$5,335.98 ",2/15/2620,cc39945,tt97924
tt33730,$8.11 ,11/20/2358,cc90388,tt46817
tt49361,$7.68 ,9/23/2598,cc67102,tt97680
tt96186,$1.84 ,1/21/2473,cc25562,tt40606
tt35874,"$58,651.23 ",4/13/2381,cc12405,tt75549
tt24894,"$3,840.39 ",7/27/2961,cc31717,tt72689
tt35630,"$7,939.43 ",9/30/2423,cc34272,tt66967
tt91670,$3.32 ,9/25/2709,cc18100,tt22870
tt79255,"$8,880.62 ",2/11/2082,cc41664,tt77465
tt17185,$23.29 ,7/31/2146,cc69093,tt84245
tt15379,$851.43 ,7/6/2747,cc21885,tt45640
tt79036,$785.24 ,5/24/2588,cc39277,tt76711
tt31599,"$36,458.33 ",8/15/2445,cc10921,tt42031
tt43704,$844.82 ,12/1/2425,cc40426,tt83734
tt24762,$374.12 ,8/22/2270,cc59163,tt93660
tt28142,$69.76 ,1/21/2393,cc81614,tt84111
tt80896,$851.70 ,11/15/2029,cc44371,tt79304
tt18344,"$7,416.88 ",5/22/2677,cc73427,tt86497
tt62440,"$8,059.72 ",1/30/2507,cc53747,tt96860
tt29004,$183.05 ,8/12/2225,cc86661,tt28967
tt60229,$9.58 ,6/1/2556,cc95577,tt44973
tt88801,"$6,633.70 ",9/22/2938,cc39843,tt49476
tt27379,"$8,217.85 ",7/30/2315,cc88214,tt59118
tt72567,"$42,078.76 ",4/1/2765,cc39462,tt10864
tt57309,"$2,932.35 ",6/25/2134,cc88137,tt22289
tt32362,"$2,833.94 ",12/4/2668,cc58589,tt66120
tt90026,$405.49 ,4/27/2451,cc91000,tt22873
tt35636,$918.62 ,2/29/2456,cc40014,tt63699
tt67076,"$90,632.84 ",10/13/2406,cc95086,tt41201
tt34298,"$1,110.65 ",6/23/2835,cc76176,tt94953
tt93482,"$3,825.17 ",10/6/2125,cc62276,tt87803
tt18407,$35.20 ,12/6/2086,cc39695,tt95025
tt51452,"$79,160.58 ",9/7/2255,cc15240,tt56171
tt56442,$86.18 ,4/5/2425,cc79066,tt30393
tt84071,$670.80 ,2/9/2610,cc56198,tt89733
tt70417,$7.02 ,10/17/2842,cc97180,tt28877
tt54631,$41.31 ,6/3/2270,cc41655,tt47174
tt93285,$116.81 ,7/26/2958,cc91442,tt99435
tt19436,"$5,938.47 ",1/9/2789,cc83910,tt51934
tt91488,"$7,567.55 ",9/5/2304,cc42012,tt29340
tt37988,$3.60 ,12/19/2629,cc62047,tt47806
tt59936,$416.52 ,12/16/2514,cc32164,tt58188
tt98000,"$93,453.76 ",8/10/2656,cc83797,tt36180
tt69996,$598.03 ,1/22/2578,cc74775,tt81954
tt34873,$483.35 ,6/17/2543,cc15850,tt25788
tt15894,$3.81 ,7/24/2342,cc25814,tt20317
tt77064,$69.00 ,10/9/2386,cc69103,tt67381
tt81720,"$33,682.33 ",1/8/2999,cc43964,tt35030
tt75920,"$9,943.97 ",1/18/2721,cc12004,tt19481
tt19488,$8.46 ,7/21/2645,cc95427,tt82151
tt46390,"$58,181.99 ",4/5/2839,cc87277,tt30811
tt90000,$26.98 ,8/7/2916,cc70108,tt86565
tt53823,"$11,229.44 ",3/27/2802,cc50499,tt79536
tt42826,$4.44 ,4/16/2275,cc49240,tt64809
tt11728,$9.99 ,2/18/2338,cc97384,tt93761
tt81715,$149.72 ,10/4/2184,cc80645,tt39711
tt24309,$39.68 ,1/4/2488,cc12400,tt21734
tt43447,$214.32 ,4/30/2517,cc64656,tt21680
tt96419,"$35,931.05 ",11/25/2381,cc48857,tt85359
tt90140,"$48,668.73 ",7/29/2734,cc73119,tt67811
tt86562,"$2,188.00 ",6/16/2912,cc94548,tt41222
tt13516,"$93,470.51 ",11/18/2492,cc47050,tt50686
tt20057,$0.52 ,2/6/2980,cc33098,tt55221
tt24933,"$6,860.40 ",1/11/2110,cc80043,tt11545
tt35897,"$28,254.33 ",3/1/2323,cc44260,tt92816
tt12446,$7.60 ,2/26/2312,cc41455,tt73983
tt84194,"$7,766.26 ",7/24/2637,cc75244,tt67929
tt16578,"$1,079.17 ",3/25/2708,cc22888,tt52082
tt51876,$46.78 ,9/24/2030,cc77245,tt28595
tt95997,$82.08 ,1/6/2710,cc52838,tt88441
tt94991,"$6,715.51 ",8/6/2151,cc41322,tt37913
tt83524,$82.16 ,5/31/2396,cc25034,tt27415
tt74197,$9.14 ,8/22/2683,cc31487,tt77668
tt79935,$716.50 ,1/13/2380,cc86890,tt38995
tt84809,$0.72 ,6/18/2423,cc95411,tt53726
tt35989,$7.47 ,3/14/2919,cc53973,tt58886
tt64170,"$9,037.98 ",11/2/2884,cc90345,tt31635
tt99631,$706.98 ,1/6/2225,cc63580,tt74118
tt33565,"$4,871.36 ",7/9/2318,cc65974,tt54406
tt87644,$0.15 ,5/19/2510,cc38259,tt63069
tt90056,$371.58 ,1/18/2047,cc50939,tt61783
tt50243,$93.32 ,2/24/2970,cc80604,tt87969
tt35501,"$28,558.24 ",11/13/2753,cc63613,tt61347
tt45792,"$82,426.06 ",8/31/2176,cc55496,tt97274
tt84491,$80.57 ,7/27/2465,cc17814,tt98403
tt94572,$2.25 ,10/12/2345,cc11039,tt31983
tt28459,$8.61 ,7/30/2993,cc93656,tt99224
tt74880,"$5,868.16 ",11/13/2432,cc58936,tt87009
tt36556,$57.16 ,12/25/2399,cc95551,tt40296
tt20408,"$53,383.86 ",5/13/2884,cc57579,tt49139
tt97272,$74.06 ,8/20/2604,cc59210,tt89031
tt63870,"$1,054.69 ",9/28/2588,cc48748,tt17917
tt89971,$48.29 ,1/7/2820,cc30223,tt42360
tt12762,"$95,758.16 ",12/23/2497,cc23188,tt45675
tt39359,$95.05 ,11/22/2814,cc50984,tt17953
tt92924,$694.41 ,5/8/2635,cc45853,tt36016
tt60672,$51.25 ,4/14/2333,cc88274,tt91941
tt54470,"$10,762.72 ",2/4/2158,cc47182,tt86567
tt32958,"$89,563.35 ",7/4/2644,cc87191,tt70938
tt38202,"$2,332.82 ",8/14/2378,cc67751,tt20978
tt25190,$824.98 ,1/4/2558,cc86445,tt83060
tt91907,$658.54 ,7/9/2861,cc90827,tt19822
tt69600,$22.44 ,7/29/2750,cc37847,tt64733
tt42492,$4.12 ,3/12/2789,cc93547,tt79357
tt18585,$38.34 ,1/29/2603,cc55350,tt22439
tt70082,$639.63 ,5/24/2281,cc46703,tt91888
tt74198,"$7,121.44 ",5/5/2414,cc51825,tt21950
tt87115,"$1,883.03 ",2/23/2372,cc47206,tt70188
tt44515,"$9,881.98 ",12/24/2500,cc32198,tt43280
tt49496,"$95,871.84 ",5/14/2441,cc22340,tt12209
tt78129,$39.18 ,7/26/2986,cc22382,tt45236
tt13469,$0.44 ,9/4/2547,cc99150,tt40216
tt97125,"$32,126.81 ",8/29/2284,cc60076,tt66456
tt84655,$75.95 ,5/13/2609,cc58103,tt40669
tt63349,$9.19 ,1/6/2478,cc66612,tt10578
tt48679,$211.83 ,5/29/2742,cc32487,tt14889
tt72593,$86.73 ,2/21/2871,cc27608,tt55184
tt68878,"$16,014.17 ",7/11/2619,cc92694,tt23054
tt25913,$4.10 ,3/1/2360,cc32927,tt50141
tt63739,"$87,950.83 ",9/3/2748,cc92420,tt55366
tt25606,$80.83 ,10/20/2814,cc25687,tt87791
tt59331,"$2,788.75 ",4/22/2417,cc74041,tt47447
tt21645,$28.20 ,1/1/2598,cc37578,tt70924
tt56565,"$9,005.58 ",5/23/2461,cc31517,tt40090
tt23393,"$9,443.75 ",12/28/2544,cc32800,tt23443
tt96103,$11.97 ,9/30/2415,cc52216,tt64342
tt80128,"$6,665.54 ",12/7/2395,cc38731,tt93124
tt86753,$21.11 ,8/20/2859,cc47848,tt26791
tt27876,$842.04 ,5/23/2554,cc22843,tt70773
tt37128,$951.43 ,12/29/2268,cc18339,tt20155
tt84944,$40.14 ,2/14/2546,cc83928,tt85771
tt93897,$4.94 ,1/23/2042,cc65824,tt88478
tt33495,$33.25 ,8/31/2161,cc87786,tt14465
tt41085,"$4,466.70 ",3/25/2030,cc26409,tt54451
tt71138,"$9,823.81 ",10/25/2052,cc33383,tt86524
tt87617,$68.03 ,3/28/2905,cc79351,tt44529
tt71426,$285.35 ,11/29/2371,cc98263,tt33579
tt33233,"$37,268.09 ",12/18/2519,cc98184,tt73512
tt43141,"$33,755.08 ",4/29/2971,cc90403,tt61033
tt23924,$29.15 ,1/13/2480,cc50614,tt21380
tt26234,$3.84 ,11/12/2450,cc93626,tt23763
tt35927,"$20,564.73 ",11/23/2514,cc94574,tt14849
tt83553,$261.26 ,6/29/2275,cc57983,tt63051
tt87546,"$8,141.11 ",9/18/2922,cc67465,tt71407
tt88129,$7.38 ,8/9/2680,cc36845,tt63913
tt55144,$42.36 ,10/1/2513,cc64196,tt15043
tt58564,"$8,694.93 ",5/2/2365,cc98856,tt69265
tt63110,$2.34 ,1/29/2813,cc71551,tt15343
tt20975,"$64,068.52 ",10/23/2046,cc82592,tt89324
tt84582,$2.03 ,9/3/2944,cc85642,tt63947
tt94237,$62.88 ,12/11/2654,cc29126,tt56160
tt21105,$788.01 ,4/3/2237,cc59734,tt36133
tt37534,$69.96 ,8/18/2587,cc42694,tt45000
tt53820,$213.21 ,11/23/2353,cc81158,tt43762
tt59130,$40.43 ,1/5/2144,cc67147,tt30036
tt97591,$76.84 ,2/25/2894,cc97783,tt89962
tt62546,$533.08 ,12/23/2053,cc73061,tt51855
tt87018,"$85,058.40 ",3/31/2628,cc33458,tt10844
tt41205,$6.41 ,1/30/2836,cc80683,tt97622
tt91999,$18.42 ,10/20/2913,cc35724,tt94387
tt88490,"$6,431.64 ",6/25/2941,cc38281,tt59579
tt29717,"$7,454.38 ",10/14/2318,cc95644,tt28219
tt22577,$92.65 ,1/30/2270,cc36542,tt40058
tt22876,"$8,700.66 ",7/15/2624,cc99425,tt31903
tt38314,$55.99 ,5/16/2824,cc94864,tt56575
tt52399,$84.92 ,6/3/2047,cc76461,tt67181
tt67453,"$4,287.05 ",9/10/2740,cc58763,tt50445
tt62050,"$20,653.56 ",12/28/2427,cc62792,tt17813
tt16249,"$1,986.27 ",10/30/2038,cc49844,tt36990
tt44825,"$23,443.88 ",3/20/2643,cc66018,tt89238
tt84520,"$1,274.07 ",11/27/2509,cc15966,tt43957
tt76990,$30.00 ,6/29/2654,cc55863,tt90443
tt43899,$8.02 ,6/22/2349,cc11071,tt96666
tt16344,"$3,549.10 ",3/12/2024,cc96521,tt32741
tt29411,$619.59 ,6/1/2865,cc72147,tt90512
tt73962,"$9,504.58 ",5/21/2433,cc85581,tt35859
tt95501,$8.30 ,3/2/2337,cc11994,tt41747
tt34819,"$5,035.99 ",12/6/2901,cc72973,tt44562
tt26579,"$80,288.35 ",11/25/2677,cc19953,tt69108
tt52362,$556.54 ,6/26/2093,cc67686,tt73014
tt31427,$532.33 ,9/16/2147,cc63330,tt25267
tt22378,$299.06 ,2/24/2874,cc46255,tt44748
tt35834,"$2,625.44 ",4/3/2464,cc70374,tt40654
tt62404,$81.87 ,5/22/2733,cc61640,tt48800
tt25279,$324.47 ,3/21/2490,cc59081,tt81446
tt16221,$54.17 ,3/27/2299,cc85304,tt34010
tt99637,$193.82 ,3/19/2821,cc70900,tt15290
tt36399,$762.87 ,1/6/2598,cc42532,tt35576
tt13532,$0.72 ,4/15/2231,cc34901,tt30975
tt37279,"$4,509.02 ",4/6/2883,cc66383,tt90837
tt48591,$8.33 ,1/2/2583,cc15552,tt25629
tt38890,$698.56 ,1/13/2473,cc58189,tt69925
tt55712,$36.57 ,11/16/2650,cc81968,tt42809
tt98452,"$93,174.84 ",7/26/2090,cc75241,tt77199
tt56704,$1.16 ,7/26/2748,cc28371,tt10914
tt68671,$188.43 ,12/24/2773,cc96926,tt93889
tt94527,"$8,266.36 ",8/12/2552,cc33972,tt87116
tt96092,$71.93 ,2/20/2362,cc24425,tt22598
tt36216,"$3,420.11 ",2/12/2358,cc63023,tt79449
tt42129,$726.40 ,9/10/2048,cc59959,tt89828
tt88807,$9.18 ,3/26/2319,cc82191,tt73888
tt89350,"$27,121.86 ",4/1/2921,cc47939,tt41888
tt69228,$8.05 ,2/4/2121,cc87710,tt90523
tt40901,"$7,181.74 ",2/20/2360,cc66805,tt42506
tt45029,$87.29 ,4/29/2362,cc30968,tt22399
tt62773,$74.14 ,9/6/2753,cc37363,tt93187
tt78516,"$51,560.03 ",7/10/2379,cc82599,tt48731
tt62480,$71.24 ,1/18/2045,cc59560,tt92507
tt81841,"$6,989.87 ",7/11/2573,cc40707,tt36080
tt26705,$0.42 ,3/5/2883,cc11246,tt86868
tt30477,$9.58 ,10/5/2217,cc35757,tt94995
tt52377,$733.06 ,4/10/2747,cc75068,tt18669
tt62011,$3.75 ,4/24/2210,cc63498,tt19006
tt10067,$7.76 ,7/29/2651,cc40255,tt35495
tt67311,"$84,550.63 ",7/24/2150,cc94502,tt51957
tt87138,"$14,462.85 ",5/9/2023,cc66725,tt74763
tt20286,"$7,484.70 ",8/7/2329,cc35172,tt84239
tt40382,"$3,332.52 ",12/7/2219,cc47938,tt64887
tt76619,"$93,759.60 ",11/29/2354,cc82089,tt28199
tt16363,"$13,267.41 ",4/6/2067,cc40483,tt95411
tt89573,$3.57 ,6/25/2767,cc69866,tt49010
tt76306,$6.50 ,4/11/2524,cc82045,tt68565
tt55615,"$90,456.82 ",9/9/2801,cc51929,tt99381
tt75757,$257.44 ,9/3/2160,cc91724,tt50915
tt88429,"$6,326.13 ",8/14/2581,cc92567,tt68191
tt48723,$10.91 ,9/11/2369,cc15114,tt81502
tt88146,$8.61 ,2/20/2639,cc52362,tt95130
tt10352,"$9,248.20 ",5/16/2809,cc85276,tt89840
tt62548,"$31,429.91 ",5/2/2900,cc79156,tt64744
tt46839,$744.59 ,1/28/2433,cc77202,tt57946
tt96512,$39.48 ,9/16/2126,cc77473,tt31932
tt80192,$448.13 ,9/14/2797,cc97684,tt37023
tt29939,"$34,940.70 ",12/24/2678,cc22731,tt27398
tt13884,"$68,075.51 ",3/17/2723,cc24014,tt42624
tt46154,"$5,111.83 ",8/31/2511,cc73200,tt18663
tt90764,$64.38 ,1/10/2860,cc39787,tt66096
tt17283,"$5,875.13 ",8/4/2545,cc33819,tt72427
tt64882,"$3,490.82 ",11/30/2431,cc39961,tt33078
tt12231,$5.77 ,12/27/2838,cc66809,tt41933
tt39277,"$3,653.46 ",3/14/2374,cc63345,tt30990
tt24682,"$66,104.43 ",5/11/2286,cc90538,tt31675
tt16297,"$1,779.97 ",5/13/2909,cc55929,tt32332
tt80175,$24.20 ,9/30/2875,cc82365,tt29162
tt72424,$6.38 ,2/19/2975,cc73428,tt56567
tt88960,$885.49 ,5/4/2217,cc37385,tt44242
tt87939,$72.01 ,6/1/2698,cc96511,tt19617
tt21989,$19.00 ,10/2/2267,cc12146,tt54917
tt66551,$55.84 ,3/25/2730,cc97197,tt50471
tt51583,"$18,605.51 ",1/23/2692,cc61761,tt55743
tt53013,$8.91 ,8/31/2983,cc92846,tt24101
tt46200,$3.30 ,3/7/2073,cc62141,tt53368
tt34172,$72.40 ,8/5/2598,cc65588,tt46594
tt93988,$914.75 ,7/27/2521,cc71557,tt66144
tt50627,"$8,934.53 ",4/16/2511,cc13359,tt35629
tt41197,"$2,244.14 ",9/7/2508,cc58437,tt36889
tt51369,$515.04 ,10/15/2757,cc24779,tt45834
tt60991,$300.35 ,5/2/2623,cc34462,tt55476
tt64393,"$3,653.14 ",8/16/2643,cc52067,tt38097
tt85654,$109.06 ,10/22/2903,cc89108,tt47503
tt56663,$7.74 ,3/20/2050,cc81378,tt54044
tt43272,$1.97 ,2/5/2401,cc12973,tt52587
tt46839,$456.95 ,5/23/2953,cc16371,tt75790
tt13601,"$1,546.72 ",8/18/2735,cc66146,tt97171
tt82060,$50.33 ,12/13/2708,cc79713,tt94518
tt62903,"$31,563.55 ",2/25/2771,cc77494,tt67641
tt77984,$1.96 ,6/15/2860,cc15487,tt81473
tt24321,$4.94 ,1/4/2406,cc65962,tt77755
tt49158,$566.16 ,12/16/2681,cc73115,tt50982
tt28571,$38.86 ,12/11/2288,cc12437,tt15732
tt16358,$7.71 ,3/18/2391,cc94314,tt70865
tt84033,$635.04 ,3/7/2739,cc10004,tt52115
tt47853,$8.68 ,8/27/2495,cc93645,tt64206
tt93932,"$45,373.23 ",3/23/2671,cc97593,tt58597
